Number of Records,Offense,Relationship,Suspect Age At Incident,Suspect Gender,Victim Age At Incident,Victim Gender,Weapon Type,Alcohol,Call Date/Time,Dcf Notified,Drug Related,Id,Incident Number,Mental Health Related,Offense Violation Type Id
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,26,Male - M,28,Female - F,,Yes,11/27/2011 10:40:00 PM,0,0,5576,11BU027898,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Parent - PA,26,Female - F,57,Male - M,,Yes,11/28/2011 11:07:36 PM,0,0,5671,11BU027991,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Child - CH,65,Male - M,17,Female - F,,1,12/1/2011 5:49:35 PM,0,0,5894,11BU028206,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Step-Child - SC,31,Male - M,8,Female - F,,Yes,12/3/2011 4:16:12 PM,1,0,6065,11BU028371,0,2233
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Aquaintance - AQ,57,Male - M,49,Female - F,,Yes,12/5/2011 5:13:49 PM,0,0,6221,11BU028523,0,2235
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,43,Male - M,47,Female - F,,Yes,12/5/2011 8:46:55 PM,0,0,6240,11BU028542,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Spouse - SE,41,Male - M,40,Female - F,,1,12/7/2011 6:22:00 PM,0,0,6400,11BU028701,0,2233
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,27,Male - M,22,Female - F,,1,12/10/2011 2:12:17 AM,0,0,6601,11BU028885,0,2235
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,27,Male - M,22,Female - F,,1,12/10/2011 2:12:17 AM,0,0,6593,11BU028885,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Otherwise Known - OK,19,Male - M,19,Male - M,,Yes,12/12/2011 2:42:32 PM,0,0,6735,11BU029022,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Parent - PA,18,Male - M,49,Female - F,,Yes,12/12/2011 5:58:27 PM,0,0,6750,11BU029037,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Parent - PA,13,Female - F,40,Female - F,,Yes,12/13/2011 11:02:54 AM,1,0,6792,11BU029077,0,2233
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,26,Female - F,28,Male - M,,Yes,12/15/2011 12:09:00 AM,0,0,6935,11BU029213,0,2234
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,44,Male - M,32,Female - F,,Yes,12/15/2011 2:19:00 AM,0,0,6949,11BU029227,0,2235
1,Domestic Assault 13 VSA 1042 13B,Victim was Spouse - SE,27,Male - M,28,Female - F,,1,12/15/2011 9:00:00 PM,1,0,7017,11BU029293,0,2233
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,30,Male - M,22,Female - F,,1,12/17/2011 7:24:12 PM,0,0,7169,11BU029442,0,2234
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Same Sex Relationship - HR,41,Female - F,27,Female - F,,Yes,12/18/2011 6:09:31 PM,0,0,7225,11BU029495,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Same Sex Relationship - HR,27,Female - F,41,Female - F,,Yes,12/18/2011 6:09:31 PM,0,0,7230,11BU029495,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,27,Male - M,26,Female - F,,Yes,12/22/2011 6:27:00 AM,0,0,7505,11BU029765,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Spouse - SE,44,Male - M,33,Female - F,,Yes,12/23/2011 12:54:00 PM,0,0,7627,11BU029881,0,2233
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Spouse - SE,31,Male - M,26,Female - F,,Yes,12/24/2011 9:53:51 AM,0,0,7692,11BU029944,0,2234
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was  Grandchild - GC,56,Male - M,18,Female - F,,Yes,12/25/2011 8:30:00 AM,0,0,7734,11BU029984,0,2234
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Spouse - SE,32,Male - M,34,Female - F,,1,12/26/2011 11:16:00 PM,0,0,7820,11BU030066,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,20,Female - F,22,Male - M,,Yes,12/28/2011 11:52:00 AM,0,0,7946,11BU030185,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,55,Male - M,50,Female - F,,1,1/1/2012 4:17:00 AM,0,0,8270,12BU000031,0,2233
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,32,Male - M,26,Female - F,,Yes,1/1/2012 2:26:27 PM,0,0,8310,12BU000069,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,24,Male - M,24,Female - F,,Yes,1/6/2012 1:46:53 PM,0,0,8715,12BU000467,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Spouse - SE,49,Male - M,23,Female - F,,Yes,1/9/2012 4:58:00 AM,0,0,8987,12BU000735,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,31,Female - F,37,Male - M,,Yes,1/9/2012 8:14:52 PM,0,0,9049,12BU000797,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Other Family Member - OF,30,Female - F,45,Female - F,,Yes,1/10/2012 7:48:17 AM,0,0,9080,12BU000828,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,23,Male - M,23,Female - F,,Yes,1/15/2012 3:17:13 AM,0,0,9506,12BU001237,0,2233
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,25,Male - M,27,Female - F,,Yes,1/16/2012 11:20:00 AM,0,0,9651,12BU001379,0,2235
1,Domestic Assault 13 VSA 1042 13B,Victim was Spouse - SE,47,Male - M,41,Female - F,,Yes,1/20/2012 11:33:39 PM,0,0,10062,12BU001779,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Aquaintance - AQ,45,Male - M,32,Male - M,,Yes,1/21/2012 9:45:32 AM,0,0,10101,12BU001817,0,2249
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Spouse - SE,49,Male - M,46,Female - F,,Yes,1/22/2012 6:12:00 PM,0,0,10250,12BU001959,0,2235
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,42,Male - M,54,Female - F,,1,1/22/2012 10:43:45 PM,0,0,10273,12BU001979,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,43,Male - M,35,Female - F,,Yes,1/23/2012 2:54:03 PM,0,0,10348,12BU002047,0,2249
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,,25,Male - M,27,Female - F,,,1/24/2012 8:52:00 PM,,0,10444,12BU002139,0,2249
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,22,Male - M,22,Female - F,,Yes,1/27/2012 11:44:15 PM,0,0,10706,12BU002390,0,2234
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,28,Male - M,23,Female - F,,Yes,1/29/2012 1:41:35 AM,0,0,10827,12BU002503,0,2234
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,43,Male - M,52,Female - F,,1,1/29/2012 9:26:07 PM,0,0,10888,12BU002562,0,2235
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Spouse - SE,,,28,Female - F,,Yes,2/1/2012 9:41:55 AM,0,0,11093,12BU002762,0,2249
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,22,Female - F,42,Male - M,,Yes,2/3/2012 12:09:57 PM,0,0,11268,12BU002932,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Ex-Spouse -XS,20,Male - M,19,Female - F,,Yes,2/6/2012 10:56:14 AM,0,0,11515,12BU003168,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Ex-Spouse -XS,20,Male - M,19,Female - F,,Yes,2/6/2012 10:56:14 AM,0,0,11535,12BU003168,0,2249
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,43,Male - M,52,Female - F,,Yes,2/9/2012 12:37:46 AM,0,0,11756,12BU003402,0,2235
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Ex-Spouse -XS,44,Male - M,31,Female - F,,Yes,2/9/2012 12:29:19 PM,0,0,11796,12BU003439,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,33,Female - F,31,Male - M,,1,2/10/2012 11:33:15 PM,0,0,11933,12BU003566,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Child - CH,52,Male - M,27,Male - M,,1,2/14/2012 5:22:00 PM,0,0,12196,12BU003815,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,24,Male - M,24,Female - F,,Yes,2/19/2012 7:29:56 PM,0,0,12645,12BU004237,0,2249
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Neighbor - NE,45,Male - M,45,Male - M,,Yes,2/22/2012 9:02:12 AM,0,0,12828,12BU004409,0,2249
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,44,Male - M,27,Female - F,,Yes,2/25/2012 8:23:20 PM,0,0,13116,12BU004687,0,2235
1,Domestic Assault 13 VSA 1042 13B,Victim was Common-Law Spouse - CS,39,Female - F,28,Male - M,,1,2/26/2012 7:35:00 AM,0,0,13150,12BU004720,0,2233
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Child - CH,46,Male - M,21,Female - F,,1,2/26/2012 9:47:15 PM,0,0,13196,12BU004763,0,2235
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Otherwise Known - OK,46,Male - M,20,Male - M,,1,2/26/2012 9:47:15 PM,0,0,13196,12BU004763,0,2235
1,Domestic Assault 13 VSA 1042 13B,Victim was  Grandchild - GC,72,Male - M,15,Male - M,,Yes,2/28/2012 1:26:40 PM,0,0,13308,12BU004869,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,23,Female - F,23,Male - M,,Yes,3/8/2012 10:07:09 PM,0,0,14040,12BU005588,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Spouse - SE,,,62,Unknown - U,,1,3/10/2012 9:08:55 PM,0,0,14223,12BU005769,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Spouse - SE,62,Unknown - U,,,,1,3/10/2012 9:08:55 PM,0,0,14223,12BU005769,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Otherwise Known - OK,54,Male - M,28,Female - F,,1,3/14/2012 12:42:35 AM,0,0,14485,12BU006024,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Parent - PA,16,Female - F,37,Female - F,,Yes,3/18/2012 10:55:30 AM,0,0,14962,12BU006487,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Aquaintance - AQ,42,Male - M,33,Female - F,,Yes,3/18/2012 4:37:48 PM,0,0,14985,12BU006507,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Otherwise Known - OK,50,Male - M,58,Male - M,,1,3/29/2012 9:23:14 PM,0,0,16048,12BU007527,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Otherwise Known - OK,50,Male - M,58,Male - M,,Yes,3/29/2012 10:56:44 PM,0,0,16054,12BU007533,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,24,Male - M,24,Female - F,,Yes,4/1/2012 5:17:00 PM,0,0,16322,12BU007779,0,2233
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,,,48,Female - F,,Yes,4/5/2012 8:38:43 PM,0,0,16666,12BU008115,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Spouse - SE,30,Female - F,30,Male - M,,1,4/5/2012 11:26:23 PM,0,0,16679,12BU008127,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Same Sex Relationship - HR,51,Male - M,47,Male - M,,1,4/7/2012 9:53:45 PM,0,0,16882,12BU008323,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,26,Male - M,21,Female - F,,Yes,4/13/2012 7:48:28 PM,0,0,17398,12BU008807,0,2249
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Parent - PA,22,Male - M,69,Female - F,,Yes,4/18/2012 6:17:26 AM,0,0,17986,12BU009189,0,2249
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,67,Male - M,65,Female - F,,1,4/20/2012 10:05:06 PM,0,0,18046,12BU009433,0,2249
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Spouse - SE,55,Male - M,51,Female - F,,Yes,4/22/2012 2:51:28 AM,0,0,18140,12BU009520,0,2234
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,26,Male - M,29,Female - F,,Yes,4/23/2012 9:36:23 PM,0,0,18249,12BU009617,0,2235
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,67,Male - M,65,Female - F,,1,4/23/2012 11:08:50 PM,0,0,18252,12BU009620,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,27,Male - M,20,Female - F,,Yes,4/25/2012 8:28:27 AM,0,0,18355,12BU009718,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Child - CH,46,Male - M,12,Male - M,,Yes,4/27/2012 3:30:55 PM,1,0,19107,12BU009911,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Child - CH,47,Male - M,30,Female - F,,1,4/29/2012 4:40:29 PM,0,0,18752,12BU010081,0,2233
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Other Family Member - OF,22,Male - M,28,Male - M,,Yes,4/29/2012 7:04:00 PM,0,0,18756,12BU010091,0,2234
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,27,Male - M,33,Female - F,,1,4/30/2012 12:43:49 AM,0,0,18776,12BU010109,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,27,Male - M,33,Female - F,,1,4/30/2012 12:43:49 AM,0,0,18955,12BU010109,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Otherwise Known - OK,23,Male - M,26,Male - M,,Yes,5/1/2012 10:51:20 PM,0,0,19011,12BU010242,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Otherwise Known - OK,26,Male - M,23,Male - M,,Yes,5/1/2012 10:51:20 PM,0,0,19020,12BU010242,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Parent - PA,25,Male - M,44,Female - F,,Yes,5/2/2012 8:07:49 AM,0,0,19047,12BU010257,0,2249
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,34,Male - M,29,Female - F,,1,5/4/2012 2:23:57 AM,1,0,19323,12BU010419,0,2234
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,28,Male - M,28,Female - F,,Yes,5/4/2012 2:45:28 AM,0,0,19332,12BU010421,0,2235
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,23,Female - F,29,Male - M,,Yes,5/5/2012 9:12:29 AM,0,0,19500,12BU010529,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,29,Male - M,23,Female - F,,Yes,5/5/2012 9:12:29 AM,0,0,19500,12BU010529,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,32,Female - F,30,Male - M,,,5/6/2012 9:33:02 PM,,0,19689,12BU010649,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,30,Male - M,32,Female - F,,,5/6/2012 9:33:02 PM,,0,19689,12BU010649,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,32,Female - F,30,Male - M,,Yes,5/6/2012 10:48:34 PM,0,0,19695,12BU010654,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,30,Male - M,32,Female - F,,Yes,5/6/2012 10:48:34 PM,0,0,19713,12BU010654,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Spouse - SE,29,Male - M,29,Female - F,,Yes,5/7/2012 10:32:09 AM,0,0,19762,12BU010692,0,2249
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,26,Male - M,29,Female - F,,Yes,5/8/2012 3:43:41 AM,0,0,19898,12BU010773,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,49,Male - M,51,Female - F,,Yes,5/8/2012 5:09:44 PM,0,0,19957,12BU010808,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Spouse - SE,32,Male - M,30,Female - F,,Yes,5/9/2012 12:47:03 PM,0,0,20065,12BU010866,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Aquaintance - AQ,26,Female - F,36,Female - F,,Yes,5/10/2012 7:56:26 AM,0,0,20173,12BU010930,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,25,Male - M,20,Female - F,,Yes,5/11/2012 5:37:04 PM,0,0,20395,12BU011068,0,2233
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Other Family Member - OF,46,Male - M,50,Male - M,,1,5/12/2012 3:37:26 AM,0,0,20480,12BU011123,0,2235
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,39,Female - F,42,Male - M,,Yes,5/12/2012 7:53:03 PM,0,0,20574,12BU011193,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,26,Male - M,26,Female - F,,Yes,5/13/2012 5:00:56 AM,0,0,20654,12BU011258,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Otherwise Known - OK,26,Male - M,26,Female - F,,Yes,5/13/2012 2:22:01 PM,0,0,20680,12BU011275,0,2249
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,56,Male - M,67,Female - F,,Yes,5/18/2012 11:06:03 AM,0,0,21388,12BU011716,0,2235
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Ex-Spouse -XS,24,Male - M,24,Female - F,,Yes,5/19/2012 1:05:00 PM,0,0,21583,12BU011832,0,2235
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Otherwise Known - OK,32,Male - M,23,Female - F,,Yes,5/20/2012 11:22:44 PM,0,0,21840,12BU012011,0,2249
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,27,Male - M,23,Female - F,,Yes,5/24/2012 9:16:38 PM,0,0,22440,12BU012382,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,23,Female - F,31,Male - M,,1,5/26/2012 5:04:09 PM,0,0,22725,12BU012576,0,2233
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,43,Male - M,40,Female - F,,Yes,5/28/2012 11:01:41 PM,0,0,23030,12BU012785,0,2234
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Child - CH,43,Male - M,13,Female - F,,Yes,5/28/2012 11:01:41 PM,0,0,23039,12BU012785,0,2235
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Aquaintance - AQ,45,Male - M,40,Female - F,,1,5/31/2012 3:11:20 AM,0,0,23378,12BU013016,0,2235
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Spouse - SE,44,Male - M,29,Female - F,,Yes,5/31/2012 8:04:46 PM,0,0,23470,12BU013071,0,2249
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,60,Male - M,28,Female - F,,,6/6/2012 1:34:32 PM,,0,24289,12BU013609,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Parent - PA,29,Female - F,51,Female - F,,1,6/6/2012 7:42:19 PM,,0,24336,12BU013640,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,31,Female - F,43,Male - M,,,6/6/2012 7:44:58 PM,,0,24337,12BU013641,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,,,48,Female - F,,1,6/8/2012 12:54:21 PM,0,0,24631,12BU013825,0,2233
